[00:10.97] They [00:11.23]
[00:11.23] say [00:11.75]
[00:12.63] you [00:12.87]
[00:14.25] know [00:14.64]
[00:14.77] when [00:15.02]
[00:15.02] you [00:15.20]
[00:15.20] know [00:16.49]

[00:17.43] So, [00:17.89]
[00:17.96] let's [00:18.25]
[00:18.25] face [00:18.73]
[00:18.73] it, [00:19.46]
[00:20.59] you [00:20.78]
[00:20.78] had [00:21.05]
[00:21.05] me [00:21.36]
[00:21.57] at [00:21.84]
[00:22.09] "Hello" [00:23.51]

[00:24.96] Hesitation [00:25.86]
[00:26.11] never [00:26.50]
[00:26.50] helps [00:27.35]

[00:27.91] How [00:28.17]
[00:28.17] could [00:28.45]
[00:28.45] this [00:28.77]
[00:28.77] be [00:29.61]
[00:30.01] anything, [00:30.56]
[00:30.95] anything [00:31.42]
[00:31.42] else? [00:32.45]

[00:33.45] When [00:34.42]
[00:34.42] all [00:34.78]
[00:34.78] I [00:35.01]
[00:35.01] dream [00:35.31]
[00:35.31] of [00:35.80]
[00:35.94] is [00:36.19]
[00:36.19] your [00:36.63]
[00:36.63] eyes [00:37.33]

[00:37.89] All [00:38.25]
[00:38.25] I [00:38.35]
[00:38.35] long [00:38.83]
[00:38.83] for [00:39.29]
[00:39.41] is [00:39.59]
[00:39.59] your [00:39.99]
[00:39.99] touch [00:40.80]

[00:41.25] And, [00:41.65]
[00:41.97] darling, [00:42.50]
[00:42.75] something [00:43.19]
[00:43.19] tells [00:43.51]
[00:43.51] me [00:44.20]
[00:44.42] that's [00:44.91]
[00:44.91] enough, [00:45.69]
[00:46.06] mm-mm-mm-mm [00:47.45]

[00:47.88] You [00:48.24]
[00:48.24] can [00:48.43]
[00:48.43] say [00:48.81]
[00:48.81] that [00:49.19]
[00:49.19] I'm [00:49.56]
[00:49.56] a [00:49.95]
[00:49.95] fool [00:51.10]

[00:51.48] And [00:51.68]
[00:51.68] I [00:51.93]
[00:51.93] don't [00:52.22]
[00:52.22] know [00:52.61]
[00:52.88] very [00:53.25]
[00:53.25] much [00:54.00]

[00:54.67] But [00:54.91]
[00:54.91] I [00:55.20]
[00:55.33] think [00:55.70]
[00:55.93] they [00:56.32]
[00:56.88] call [00:57.65]
[00:58.26] this [00:58.62]
[00:58.62] love [00:59.83]

[01:05.51] One [01:05.81]
[01:05.81] smile, [01:06.11]
[01:06.27] one [01:06.50]
[01:06.50] kiss, [01:06.84]
[01:07.12] two [01:07.41]
[01:07.41] lonely [01:07.82]
[01:07.82] hearts [01:08.57]
[01:08.76] is [01:08.89]
[01:08.89] all [01:09.13]
[01:09.13] that [01:09.68]
[01:10.16] I [01:10.45]
[01:10.45] need [01:11.09]

[01:11.37] Now, [01:11.69]
[01:11.69] baby, [01:12.16]
[01:12.98] you're [01:13.29]
[01:13.43] on [01:13.62]
[01:13.62] my [01:13.91]
[01:14.28] mind [01:14.88]
[01:14.99] every [01:15.35]
[01:15.35] night, [01:15.78]
[01:16.14] every [01:16.52]
[01:16.52] day [01:18.15]

[01:19.46] Good [01:19.78]
[01:19.96] vibrations [01:20.73]
[01:20.94] getting [01:21.43]
[01:21.43] loud [01:22.06]

[01:22.56] How [01:22.79]
[01:22.79] could [01:23.08]
[01:23.08] this [01:23.36]
[01:23.36] be [01:24.23]
[01:24.58] anything, [01:25.26]
[01:25.55] anything [01:26.15]
[01:26.15] else? [01:27.27]

[01:27.65] When [01:29.35]
[01:29.35] all [01:29.74]
[01:29.74] I [01:29.89]
[01:29.89] dream [01:30.29]
[01:30.29] of [01:30.76]
[01:30.93] is [01:31.25]
[01:31.25] your [01:31.62]
[01:31.62] eyes [01:32.22]

[01:32.55] All [01:32.90]
[01:32.90] I [01:33.00]
[01:33.00] long [01:33.45]
[01:33.45] for [01:34.00]
[01:34.05] is [01:34.34]
[01:34.34] your [01:34.71]
[01:34.71] touch [01:35.63]

[01:36.01] And, [01:36.31]
[01:36.66] darling, [01:37.33]
[01:37.60] something [01:38.07]
[01:38.07] tells [01:38.41]
[01:38.41] me [01:38.99]
[01:39.18] that's [01:39.54]
[01:39.54] enough, [01:40.40]
[01:40.86] mm-mm-mm-mm [01:42.23]

[01:42.82] You [01:43.14]
[01:43.14] can [01:43.34]
[01:43.34] say [01:43.83]
[01:43.83] that [01:44.24]
[01:44.24] I'm [01:44.60]
[01:44.60] a [01:45.03]
[01:45.03] fool [01:45.74]

[01:46.06] And [01:46.29]
[01:46.29] I [01:46.54]
[01:46.54] don't [01:46.88]
[01:46.88] know [01:47.33]
[01:47.60] very [01:48.06]
[01:48.06] much [01:48.88]

[01:49.52] But [01:49.77]
[01:49.77] I [01:50.00]
[01:50.15] think [01:50.51]
[01:50.84] they [01:51.36]
[01:51.78] call [01:52.54]
[01:53.05] this [01:53.46]
[01:53.46] love [01:54.67]

[01:56.40] Oh, [01:56.89]
[01:56.89] I [01:57.14]
[01:57.34] think [01:57.73]
[01:58.00] they [01:58.42]
[01:58.84] call [01:59.60]
[01:59.85] this [02:00.22]
[02:00.22] love [02:01.81]

[02:13.06] Hmm, [02:13.51]
[02:13.51] ooh-ooh, [02:13.97]
[02:13.97] mm [02:14.37]
[02:14.97] Mm [02:15.31]

[02:15.66] What [02:15.89]
[02:15.89] could [02:16.14]
[02:16.14] this [02:16.44]
[02:16.44] be [02:17.14]

[02:17.38] Between [02:17.89]
[02:18.06] you [02:18.32]
[02:18.32] and [02:18.57]
[02:18.57] me? [02:19.46]

[02:19.58] Oh, [02:20.01]
[02:20.01] oh [02:20.91]

[02:23.95] All [02:24.42]
[02:24.42] I [02:24.57]
[02:24.71] dream [02:25.07]
[02:25.07] of [02:25.64]
[02:25.80] is [02:25.99]
[02:25.99] your [02:26.40]
[02:26.40] eyes [02:27.08]

[02:27.42] All [02:27.75]
[02:27.75] I [02:27.91]
[02:27.91] long [02:28.32]
[02:28.32] for [02:28.77]
[02:28.91] is [02:29.18]
[02:29.18] your [02:29.56]
[02:29.56] touch [02:30.34]

[02:30.82] And, [02:31.25]
[02:31.62] darling, [02:32.22]
[02:32.49] something [02:33.00]
[02:33.00] tells [02:33.32]
[02:33.32] me, [02:33.72]
[02:33.91] tells [02:34.25]
[02:34.25] me [02:34.72]
[02:34.72] it's [02:34.93]
[02:34.93] enough [02:36.46]

[02:37.95] You [02:38.30]
[02:38.30] can [02:38.54]
[02:38.54] say [02:38.97]
[02:38.97] that [02:39.38]
[02:39.38] I'm [02:39.75]
[02:39.75] a [02:40.04]
[02:40.04] fool [02:40.57]

[02:40.91] And [02:41.13]
[02:41.13] I [02:41.36]
[02:41.36] don't [02:41.71]
[02:41.71] know [02:42.20]
[02:42.66] very [02:43.19]
[02:43.19] much [02:44.02]

[02:44.75] But [02:44.97]
[02:44.97] I [02:45.19]
