[00:19.34] Your [00:19.66]
[00:19.98] morning [00:20.40]
[00:20.80] eyes, [00:21.36]
[00:21.50] I [00:21.72]
[00:21.72] could [00:21.94]
[00:22.28] stare [00:22.75]
[00:22.99] like [00:23.23]
[00:23.47] watching [00:23.83]
[00:24.31] stars [00:25.32]

[00:26.34] I [00:26.47]
[00:26.47] could [00:26.70]
[00:27.11] walk [00:27.48]
[00:27.57] you [00:27.76]
[00:28.05] by, [00:28.45]
[00:28.45] and [00:28.84]
[00:28.84] I'll [00:29.07]
[00:29.35] tell [00:29.74]
[00:30.15] without [00:30.69]
[00:30.69] a [00:30.84]
[00:31.06] thought [00:32.41]

[00:32.91] You'd [00:33.24]
[00:33.24] be [00:33.64]
[00:34.20] mine, [00:34.71]
[00:34.71] would [00:34.96]
[00:34.96] you [00:35.31]
[00:35.73] mind [00:36.31]
[00:36.46] if [00:36.63]
[00:36.63] I [00:36.79]
[00:37.06] took [00:37.40]
[00:37.69] your [00:37.91]
[00:38.22] hand [00:38.56]
[00:38.86] tonight? [00:39.67]

[00:40.06] Know [00:40.35]
[00:40.35] you're [00:40.61]
[00:40.97] all [00:41.67]
[00:41.67] that [00:41.97]
[00:42.04] I [00:42.23]
[00:42.66] want [00:43.14]
[00:43.61] this [00:43.83]
[00:44.25] life [00:45.69]

[00:48.06] I'll [00:48.37]
[00:48.51] imagine [00:49.03]
[00:49.03] we [00:49.20]
[00:49.46] fell [00:49.66]
[00:49.66] in [00:49.80]
[00:50.13] love [00:50.62]

[00:50.81] I'll [00:51.01]
[00:51.01] nap [00:51.27]
[00:51.49] under [00:51.84]
[00:52.07] moonlight [00:52.54]
[00:52.79] skies [00:53.15]
[00:53.15] with [00:53.40]
[00:53.64] you [00:54.04]

[00:54.67] I [00:54.91]
[00:54.91] think [00:55.20]
[00:55.20] I'll [00:55.45]
[00:55.70] picture [00:56.12]
[00:56.36] us, [00:56.54]
[00:56.69] you [00:56.88]
[00:56.88] with [00:57.06]
[00:57.06] the [00:57.24]
[00:57.65] waves [00:58.21]

[00:58.37] The [00:58.55]
[00:58.91] ocean's [00:59.39]
[00:59.88] colors [01:00.37]
[01:00.67] on [01:00.86]
[01:00.86] your [01:01.08]
[01:01.35] face [01:01.83]

[01:02.39] I'll [01:02.57]
[01:02.73] leave [01:03.01]
[01:03.01] my [01:03.24]
[01:03.48] heart [01:03.88]
[01:03.95] with [01:04.22]
[01:04.22] your [01:04.53]
[01:05.10] air [01:05.86]

[01:06.19] So [01:06.46]
[01:06.46] let [01:06.66]
[01:06.66] me [01:06.88]
[01:07.16] fly [01:07.57]
[01:07.67] with [01:08.06]
[01:08.43] you [01:08.79]

[01:09.58] Will [01:09.77]
[01:09.77] you [01:09.95]
[01:10.27] be [01:10.51]
[01:12.11] forever [01:12.92]
[01:13.31] with [01:13.62]
[01:13.88] me? [01:14.39]

[01:47.16] My [01:47.41]
[01:47.74] love [01:48.06]
[01:48.06] will [01:48.33]
[01:48.56] always [01:49.00]
[01:49.33] stay [01:49.71]
[01:49.88] by [01:50.31]
[01:50.60] you [01:51.60]

[01:52.88] I'll [01:53.22]
[01:53.66] keep [01:54.00]
[01:54.00] it [01:54.21]
[01:54.54] safe, [01:54.89]
[01:54.89] so [01:55.12]
[01:55.33] don't [01:55.57]
[01:55.57] you [01:55.80]
[01:56.24] worry [01:56.70]
[01:56.70] a [01:56.88]
[01:57.17] thing [01:57.73]

[01:58.07] I'll [01:58.26]
[01:58.33] tell [01:58.60]
[01:58.60] you [01:58.74]
[01:58.74] I [01:58.91]
[01:59.13] love [01:59.48]
[01:59.48] you [01:59.73]
[02:00.10] more [02:00.91]

[02:01.46] It's [02:01.76]
[02:02.04] stuck [02:02.48]
[02:02.48] with [02:02.72]
[02:02.72] you [02:02.95]
[02:03.68] forever, [02:04.60]
[02:04.97] so [02:05.23]
[02:05.57] promise [02:05.99]
[02:05.99] you [02:06.18]
[02:06.32] won't [02:06.59]
[02:06.72] let [02:06.94]
[02:06.94] it [02:07.12]
[02:07.41] go [02:07.91]

[02:08.35] I'll [02:08.56]
[02:08.77] trust [02:09.11]
[02:09.11] the [02:09.28]
[02:09.91] universe [02:10.59]
[02:10.74] will [02:10.97]
[02:11.23] always [02:11.77]
[02:11.96] bring [02:12.19]
[02:12.19] me [02:12.44]
[02:12.44] to [02:12.63]
[02:12.83] you [02:13.71]

[02:16.42] I'll [02:16.71]
[02:17.15] imagine [02:17.65]
[02:17.65] we [02:17.84]
[02:18.06] fell [02:18.29]
[02:18.29] in [02:18.47]
[02:18.72] love [02:19.26]

[02:19.46] I'll [02:19.57]
[02:19.57] nap [02:19.89]
[02:20.12] under [02:20.47]
[02:20.73] moonlight [02:21.23]
[02:21.43] skies [02:21.82]
[02:21.82] with [02:22.06]
[02:22.38] you [02:22.76]

[02:23.27] I [02:23.51]
[02:23.51] think [02:23.82]
[02:23.82] I'll [02:24.03]
[02:24.26] picture [02:24.71]
[02:24.96] us, [02:25.14]
[02:25.27] you [02:25.50]
[02:25.50] with [02:25.72]
[02:25.72] the [02:25.86]
[02:26.24] waves [02:26.78]

[02:26.96] The [02:27.15]
[02:27.53] ocean's [02:28.06]
[02:28.53] colors [02:28.98]
[02:29.23] on [02:29.43]
[02:29.43] your [02:29.62]
[02:29.90] face [02:30.34]

[02:30.88] I'll [02:31.05]
[02:31.25] leave [02:31.54]
[02:31.54] my [02:31.75]
[02:32.00] heart [02:32.39]
[02:32.49] with [02:32.74]
[02:32.74] your [02:33.09]
[02:33.64] air [02:34.34]

[02:34.69] So [02:34.98]
[02:34.98] let [02:35.20]
[02:35.20] me [02:35.40]
[02:35.73] fly [02:36.14]
[02:36.25] with [02:36.63]
[02:37.03] you [02:37.38]

[02:38.16] Will [02:38.41]
[02:38.41] you [02:38.56]
